"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\USER\Documents\flutter projs\home_quest\lib\models\client.dart", "Dart", 76, 1, 13, 90
"c:\Users\USER\Documents\flutter projs\home_quest\lib\models\geolocation.dart", "Dart", 23, 0, 4, 27
"c:\Users\USER\Documents\flutter projs\home_quest\lib\models\property_listing.dart", "Dart", 156, 2, 8, 166
"c:\Users\USER\Documents\flutter projs\home_quest\lib\models\review.dart", "Dart", 25, 0, 4, 29
"c:\Users\USER\Documents\flutter projs\home_quest\lib\models\user.dart", "Dart", 13, 0, 4, 17
"c:\Users\USER\Documents\flutter projs\home_quest\lib\services\geocoding_service.dart", "Dart", 30, 60, 6, 96
"c:\Users\USER\Documents\flutter projs\home_quest\lib\services\onboarding_settings.dart", "Dart", 21, 0, 8, 29
"c:\Users\USER\Documents\flutter projs\home_quest\lib\shared\attribution_widget.dart", "Dart", 115, 0, 4, 119
"c:\Users\USER\Documents\flutter projs\home_quest\lib\shared\custom_button.dart", "Dart", 35, 0, 4, 39
"c:\Users\USER\Documents\flutter projs\home_quest\lib\shared\error_screen.dart", "Dart", 67, 0, 6, 73
"c:\Users\USER\Documents\flutter projs\home_quest\lib\shared\loading_indicator.dart", "Dart", 26, 0, 4, 30
"c:\Users\USER\Documents\flutter projs\home_quest\lib\shared\loading_screen.dart", "Dart", 20, 0, 3, 23
"c:\Users\USER\Documents\flutter projs\home_quest\lib\shared\spacing.dart", "Dart", 11, 0, 3, 14
"c:\Users\USER\Documents\flutter projs\home_quest\lib\shared\user_avatar.dart", "Dart", 46, 0, 3, 49
"Total", "-", 9588, 162, 561, 10311
